accuracy,loss,val_accuracy,val_loss,learning_rate
0.6889500021934509,0.5861148238182068,0.5690000057220459,0.8484625816345215,0.0010000000474974513
0.8318099975585938,0.37675735354423523,0.8126500248908997,0.417540967464447,0.0010000000474974513
0.8887900114059448,0.26396268606185913,0.8871999979019165,0.2815132439136505,0.0010000000474974513
0.9245100021362305,0.18864060938358307,0.8934000134468079,0.2785177230834961,0.0010000000474974513
0.9439799785614014,0.14235813915729523,0.9083499908447266,0.23154811561107635,0.0010000000474974513
0.9584400057792664,0.10832656919956207,0.8911499977111816,0.27299222350120544,0.0010000000474974513
0.9653599858283997,0.09000079333782196,0.947350025177002,0.14074289798736572,0.0010000000474974513
0.9722899794578552,0.07350487262010574,0.9421499967575073,0.14840257167816162,0.0010000000474974513
0.9769899845123291,0.060963939875364304,0.9545000195503235,0.12275349348783493,0.0010000000474974513
0.9808700084686279,0.052564166486263275,0.9571999907493591,0.11859601736068726,0.0010000000474974513
0.9833999872207642,0.044174034148454666,0.9072999954223633,0.26160165667533875,0.0010000000474974513
0.9860000014305115,0.037714824080467224,0.9622499942779541,0.1029360368847847,0.0010000000474974513
0.9880800247192383,0.03217881917953491,0.9478499889373779,0.14055435359477997,0.0010000000474974513
0.9892399907112122,0.03006279282271862,0.9749500155448914,0.08064137399196625,0.0010000000474974513
0.9908000230789185,0.02557612769305706,0.953000009059906,0.1418086588382721,0.0010000000474974513
0.9913100004196167,0.02345934323966503,0.9697499871253967,0.07976614683866501,0.0010000000474974513
0.9919800162315369,0.021835073828697205,0.9761999845504761,0.0638372153043747,0.0010000000474974513
0.9927099943161011,0.01990816742181778,0.9797499775886536,0.05967921018600464,0.0010000000474974513
0.993340015411377,0.01832021400332451,0.9802500009536743,0.058640576899051666,0.0010000000474974513
0.9939200282096863,0.016645748168230057,0.978600025177002,0.06331435590982437,0.0010000000474974513
